Arquivo,Nome Proprietário,CPF,CNPJ,Pessoa,Nome Condutor,CPF,CNPJ,Pessoa,Placa,Marca,Renavam,Local UF,Gravidade
1,Jaqueline Maia,,,,Jaqueline Maia,,,,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,,Média
1,Jaqueline Maia,,,,Jaqueline Maia,,,,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,,Média
1,Jaqueline Maia,,,,Jaqueline Maia,,,,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,,Média
1,Jaqueline Maia,,,,Jaqueline Maia,,,,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,,Média
1,Jaqueline Maia,,,,Jaqueline Maia,,,,MUR2946,Rolls-Royce/Wraith 6.6 V12 Aut.,,,Média
2,Joana Brandão,,,,Joana Brandão,,,,MVZ7754,Rover/Mini Cooper 1.3,,,Média
2,Joana Brandão,,,,Joana Brandão,,,,MVZ7754,Rover/Mini Cooper 1.3,,,Média
2,Joana Brandão,,,,Joana Brandão,,,,MVZ7754,Rover/Mini Cooper 1.3,,,Média
2,Joana Brandão,,,,Joana Brandão,,,,MVZ7754,Rover/Mini Cooper 1.3,,,Média
2,Joana Brandão,,,,Joana Brandão,,,,MVZ7754,Rover/Mini Cooper 1.3,,,Média
3,Joana Maldonado,,,,Joana Maldonado,,,,JBQ0688,Mitsubishi/L200 Savana 2.5 4x4 121cv CD DTI  Dies.,,,Média
3,Joana Maldonado,,,,Joana Maldonado,,,,JBQ0688,Mitsubishi/L200 Savana 2.5 4x4 121cv CD DTI  Dies.,,,Média
3,Joana Maldonado,,,,Joana Maldonado,,,,JBQ0688,Mitsubishi/L200 Savana 2.5 4x4 121cv CD DTI  Dies.,,,Média
3,Joana Maldonado,,,,Joana Maldonado,,,,JBQ0688,Mitsubishi/L200 Savana 2.5 4x4 121cv CD DTI  Dies.,,,Média
3,Joana Maldonado,,,,Joana Maldonado,,,,JBQ0688,Mitsubishi/L200 Savana 2.5 4x4 121cv CD DTI  Dies.,,,Média
4,Joana Martins,,,,Joana Martins,,,,MXT0314,HAFEI/Towner Jr. Pick-up Ba,,,Média
4,Joana Martins,,,,Joana Martins,,,,MXT0314,HAFEI/Towner Jr. Pick-up Ba,,,Média
4,Joana Martins,,,,Joana Martins,,,,MXT0314,HAFEI/Towner Jr. Pick-up Ba,,,Média
4,Joana Martins,,,,Joana Martins,,,,MXT0314,HAFEI/Towner Jr. Pick-up Ba,,,Média
4,Joana Martins,,,,Joana Martins,,,,MXT0314,HAFEI/Towner Jr. Pick-up Ba,,,Média
5,Joaquim Hashimoto,,,,Joaquim Hashimoto,,,,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,,,Média
5,Joaquim Hashimoto,,,,Joaquim Hashimoto,,,,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,,,Média
5,Joaquim Hashimoto,,,,Joaquim Hashimoto,,,,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,,,Média
5,Joaquim Hashimoto,,,,Joaquim Hashimoto,,,,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,,,Média
5,Joaquim Hashimoto,,,,Joaquim Hashimoto,,,,MQU9147,Subaru/Outback 3.0 H6 SW 245cv Aut.,,,Média
6,Edna Ávila,641.294.201-78,,Física,Edna Ávila,641.294.201-78,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,2114684790,AL,Média
6,Edna Ávila,641.294.201-78,,Física,Edna Ávila,641.294.201-78,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,2114684790,AL,Média
6,Edna Ávila,641.294.201-78,,Física,Edna Ávila,641.294.201-78,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,2114684790,AL,Média
6,Edna Ávila,641.294.201-78,,Física,Edna Ávila,641.294.201-78,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,2114684790,AL,Média
6,Edna Ávila,641.294.201-78,,Física,Edna Ávila,641.294.201-78,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,2114684790,AL,Média
7,Eduarda Gimenes,232.422.125-09,,Física,Eduarda Gimenes,232.422.125-09,,Física,MWZ6550,Fyber/Buggy 2000W 1.6 8V,2114684790,AL,Média
7,Eduarda Gimenes,232.422.125-09,,Física,Eduarda Gimenes,232.422.125-09,,Física,MWZ6550,Fyber/Buggy 2000W 1.6 8V,2114684790,AL,Média
7,Eduarda Gimenes,232.422.125-09,,Física,Eduarda Gimenes,232.422.125-09,,Física,MWZ6550,Fyber/Buggy 2000W 1.6 8V,2114684790,AL,Média
7,Eduarda Gimenes,232.422.125-09,,Física,Eduarda Gimenes,232.422.125-09,,Física,MWZ6550,Fyber/Buggy 2000W 1.6 8V,2114684790,AL,Média
7,Eduarda Gimenes,232.422.125-09,,Física,Eduarda Gimenes,232.422.125-09,,Física,MWZ6550,Fyber/Buggy 2000W 1.6 8V,2114684790,AL,Média
8,Eduardo Luz,622.064.550-21,,Física,Eduardo Luz,622.064.550-21,,Física,MLO3215,LAMBORGHINI/Gallardo Spider LP560-4,2114684790,AL,Média
8,Eduardo Luz,622.064.550-21,,Física,Eduardo Luz,622.064.550-21,,Física,MLO3215,LAMBORGHINI/Gallardo Spider LP560-4,2114684790,AL,Média
8,Eduardo Luz,622.064.550-21,,Física,Eduardo Luz,622.064.550-21,,Física,MLO3215,LAMBORGHINI/Gallardo Spider LP560-4,2114684790,AL,Média
8,Eduardo Luz,622.064.550-21,,Física,Eduardo Luz,622.064.550-21,,Física,MLO3215,LAMBORGHINI/Gallardo Spider LP560-4,2114684790,AL,Média
8,Eduardo Luz,622.064.550-21,,Física,Eduardo Luz,622.064.550-21,,Física,MLO3215,LAMBORGHINI/Gallardo Spider LP560-4,2114684790,AL,Média
9,Eloísa Siqueira,173.587.725-55,,Física,Eloísa Siqueira,173.587.725-55,,Física,KKB3204,Mazda/MX-5 Mec,2114684790,AL,Média
9,Eloísa Siqueira,173.587.725-55,,Física,Eloísa Siqueira,173.587.725-55,,Física,KKB3204,Mazda/MX-5 Mec,2114684790,AL,Média
9,Eloísa Siqueira,173.587.725-55,,Física,Eloísa Siqueira,173.587.725-55,,Física,KKB3204,Mazda/MX-5 Mec,2114684790,AL,Média
9,Eloísa Siqueira,173.587.725-55,,Física,Eloísa Siqueira,173.587.725-55,,Física,KKB3204,Mazda/MX-5 Mec,2114684790,AL,Média
9,Eloísa Siqueira,173.587.725-55,,Física,Eloísa Siqueira,173.587.725-55,,Física,KKB3204,Mazda/MX-5 Mec,2114684790,AL,Média
10,Emanuel Peres,829.927.180-09,,Física,Emanuel Peres,829.927.180-09,,Física,NAL8619,JINBEI/TOPIC VAN SL 2.2 8V/ 2.0 16V 4p,2114684790,AL,Média
10,Emanuel Peres,829.927.180-09,,Física,Emanuel Peres,829.927.180-09,,Física,NAL8619,JINBEI/TOPIC VAN SL 2.2 8V/ 2.0 16V 4p,2114684790,AL,Média
10,Emanuel Peres,829.927.180-09,,Física,Emanuel Peres,829.927.180-09,,Física,NAL8619,JINBEI/TOPIC VAN SL 2.2 8V/ 2.0 16V 4p,2114684790,AL,Média
10,Emanuel Peres,829.927.180-09,,Física,Emanuel Peres,829.927.180-09,,Física,NAL8619,JINBEI/TOPIC VAN SL 2.2 8V/ 2.0 16V 4p,2114684790,AL,Média
10,Emanuel Peres,829.927.180-09,,Física,Emanuel Peres,829.927.180-09,,Física,NAL8619,JINBEI/TOPIC VAN SL 2.2 8V/ 2.0 16V 4p,2114684790,AL,Média
11,Artur Brandão,077.805.804-23,,Física,Artur Brandão,077.805.804-23,,Física,MXH5004,Acura/Integra GS 1.8,,ES,
11,Artur Brandão,077.805.804-23,,Física,Artur Brandão,077.805.804-23,,Física,MXH5004,Acura/Integra GS 1.8,,ES,
11,Artur Brandão,077.805.804-23,,Física,Artur Brandão,077.805.804-23,,Física,MXH5004,Acura/Integra GS 1.8,,ES,
11,Artur Brandão,077.805.804-23,,Física,Artur Brandão,077.805.804-23,,Física,MXH5004,Acura/Integra GS 1.8,,ES,
11,Artur Brandão,077.805.804-23,,Física,Artur Brandão,077.805.804-23,,Física,MXH5004,Acura/Integra GS 1.8,,ES,
12,Artur Hamamura,063.732.766-78,,Física,Artur Hamamura,063.732.766-78,,Física,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,ES,
12,Artur Hamamura,063.732.766-78,,Física,Artur Hamamura,063.732.766-78,,Física,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,ES,
12,Artur Hamamura,063.732.766-78,,Física,Artur Hamamura,063.732.766-78,,Física,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,ES,
12,Artur Hamamura,063.732.766-78,,Física,Artur Hamamura,063.732.766-78,,Física,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,ES,
12,Artur Hamamura,063.732.766-78,,Física,Artur Hamamura,063.732.766-78,,Física,DPQ8378,Jaguar/X-Type ESTATE 3.0 24V 230cv,,ES,
13,Áurea Henriques,593.913.532-31,,Física,Áurea Henriques,593.913.532-31,,Física,BMV5105,CHANA/Cargo CD 1.0 8V 53cv (Pick-Up),,ES,
13,Áurea Henriques,593.913.532-31,,Física,Áurea Henriques,593.913.532-31,,Física,BMV5105,CHANA/Cargo CD 1.0 8V 53cv (Pick-Up),,ES,
13,Áurea Henriques,593.913.532-31,,Física,Áurea Henriques,593.913.532-31,,Física,BMV5105,CHANA/Cargo CD 1.0 8V 53cv (Pick-Up),,ES,
13,Áurea Henriques,593.913.532-31,,Física,Áurea Henriques,593.913.532-31,,Física,BMV5105,CHANA/Cargo CD 1.0 8V 53cv (Pick-Up),,ES,
13,Áurea Henriques,593.913.532-31,,Física,Áurea Henriques,593.913.532-31,,Física,BMV5105,CHANA/Cargo CD 1.0 8V 53cv (Pick-Up),,ES,
14,Aurélio Queiroz,631.616.164-64,,Física,Aurélio Queiroz,631.616.164-64,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
14,Aurélio Queiroz,631.616.164-64,,Física,Aurélio Queiroz,631.616.164-64,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
14,Aurélio Queiroz,631.616.164-64,,Física,Aurélio Queiroz,631.616.164-64,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
14,Aurélio Queiroz,631.616.164-64,,Física,Aurélio Queiroz,631.616.164-64,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
14,Aurélio Queiroz,631.616.164-64,,Física,Aurélio Queiroz,631.616.164-64,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
15,Bruno Flores,027.041.616-15,,Física,Bruno Flores,027.041.616-15,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
15,Bruno Flores,027.041.616-15,,Física,Bruno Flores,027.041.616-15,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
15,Bruno Flores,027.041.616-15,,Física,Bruno Flores,027.041.616-15,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
15,Bruno Flores,027.041.616-15,,Física,Bruno Flores,027.041.616-15,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
15,Bruno Flores,027.041.616-15,,Física,Bruno Flores,027.041.616-15,,Física,MXG6654,Land Rover/Defender 90 TDI CSW Diesel,,ES,
16,,,,,,,,,MQX9144,HAFEI/,,,
16,,,,,,,,,MQX9144,HAFEI/,,,
16,,,,,,,,,MQX9144,HAFEI/,,,
16,,,,,,,,,MQX9144,HAFEI/,,,
16,,,,,,,,,MQX9144,HAFEI/,,,
17,,,,,,,,,NEY7257,ACURA/,,,
17,,,,,,,,,NEY7257,ACURA/,,,
