arquivo,proprietario_nome,proprietario_cpf,proprietario_cnpj,proprietario_pessoa,condutor_nome,condutor_cpf,condutor_cnpj,condutor_pessoa,veiculo_placa,veiculo_marca,veiculo_renavam,local_uf,gravidade
1,AGILDO FONSECA,451.327.939-75,,Física,AGILDO FONSECA,451.327.939-75,,Física,NAL8619,JINBEITOPIC VAN SL 2.2,,,
2,ANA PESSOA,812.658.659-14,,Física,ANA PESSOA,812.658.659-14,,Física,NFB4339,Matra/Pick-Up CD 4x2,,,
3,ANDRE YOSHIMURA,855.151.127-09,,Física,ANDRE YOSHIMURA,855.151.127-09,,Física,JMU6059,Wake/ay 1.6 Total,,,
4,ÂNGELO PIMENTEL,888.687.454-53,,Física,ÂNGELO PIMENTEL,888.687.454-53,,Física,MUR2946,Rolls-Royce/Wraith 6.6,,,
5,ANTONIO MELO,166.058.923-13,,Física,ANTONIO MELO,166.058.923-13,,Física,MVZ7754,Rover/Mini Cooper 1.3,,,
6,ARLENE PINHEIRO,614.324.381-66,,Física,ARLENE PINHEIRO,614.324.381-66,,Física,JBQ0688,PAlS,,,
7,ARMANDO SA,431.789.221-99,,Física,ARMANDO SA,431.789.221-99,,Física,MXT0314,Ba,,,
8,ARMANDO TAVARES,289.824.273-09,,Física,ARMANDO TAVARES,289.824.273-09,,Física,MQU9147,Subaru/Outback 3.0 H6,,,
9,ARNOLDO CHAGAS,118.229.002-71,,Física,ARNOLDO CHAGAS,118.229.002-71,,Física,LCT2216,Lada/Samara 1.3/ 1.5,,,
10,ARTUR BRANDAO,077.805.804-23,,Física,ARTUR BRANDAO,077.805.804-23,,Física,MXH5004,Acura/ntegra GS 1.8,,,
11,ARTUR HAMAMURA,063.732.766-78,,Física,ARTUR HAMAMURA,063.732.766-78,,Física,DPQ8378,Jaguar/X-Type ESTATE,,,
12,ARTUR HASHIMOTO,360.422.101-30,,Física,ARTUR HASHIMOTO,360.422.101-30,,Física,HMH5586, T20,,,
13,AUGUSTO ALVES,715.815.128-05,,Física,AUGUSTO ALVES,715.815.128-05,,Física,NEY7045,AM Gen/Hummer Hard-Top,,,
14,AUREA BONFIM,317.434.142-69,,Física,AUREA BONFIM,317.434.142-69,,Física,BMV5105,V,,,
15,AUREA HENRIQUES,593.913.532-31,,Física,AUREA HENRIQUES,593.913.532-31,,Física,BMV5105,V,,,
16,AURELIO QUEIROZ,631.616.164-64,,Física,AURELIO QUEIROZ,631.616.164-64,,Física,MXG6654,Land Rover/Detender 90,,,
17,BRUNO FLORES,027.041.616-15,,Física,BRUNO FLORES,027.041.616-15,,Física,MXG6654,Land Rover/Detender 90,,,
18,CAIO TEIXEIRA,338.735.631-50,,Física,CAIO TEIXEIRA,338.735.631-50,,Física,MXG6654,Land Rover/Detender 90,,,
19,CARINA NAKATA,421.923.516-74,,Física,CARINA NAKATA,421.923.516-74,,Física,KKA3204,Mazda/MX-5 Mec,,,
20,CICERO MENEZES,882.531.366-76,,Física,CICERO MENEZES,882.531.366-76,,Física,NAL8619,JINBEITOPIC VAN SL,,,
21,CINTIA CORREA,213.589.752-30,,Física,CINTIA CORREA,213.589.752-30,,Física,NFB4339,Matra/Pick-Up CD 4x2,,,
22,CLARISSA SALLES,835.098.768-57,,Física,CLARISSA SALLES,835.098.768-57,,Física,JMU6059,Wake/ay 1.6 Total Flex,,,
23,CLAUDIA GOMES,786.765.608-11,,Física,CLAUDIA GOMES,786.765.608-11,,Física,MUR2946,Rolls-Royce/Wraith 6.6,,,
24,CONRADO MORAES,541.387.528-20,,Física,CONRADO MORAES,541.387.528-20,,Física,MVZ7754,Rover/Mini Cooper 1.3,,,
25,CONRADO SALGADO,336.889.657-10,,Física,CONRADO SALGADO,336.889.657-10,,Física,JBQ0688,PAlS,,,
26,DANIEL FONTANA,288.125.321-01,,Física,DANIEL FONTANA,288.125.321-01,,Física,MXT0314,I/HAFEI Towner Jr. Pick-up Ba,3256325344,AL,Média
27,DANILA MACEDO,611.117.625-03,,Física,DANILA MACEDO,611.117.625-03,,Física,MQU9147,I/Subaru Outback 3.0 H6 SW 245cv Aut.,3256325344,AL,Média
28,DARCY FURTADO,664.954.519-89,,Física,DARCY FURTADO,664.954.519-89,,Física,LCT2216,I/Lada Outback Samara 1.3/ 1.5,3256325344,AL,Média
29,DAVI GUERRA,214.623.386-90,,Física,DAVI GUERRA,214.623.386-90,,Física,MXH5004,Acural Integra GS 1.8,3256325344,AL,Média
30,DAVI TEIXEIRA,828.854.933-05,,Física,DAVI TEIXEIRA,828.854.933-05,,Física,DPQ8378,Jaguar / X-Type ESTATE 3.0 24V 230cv,3256325344,AL,Média
31,DIEGO FAGUNDES,642.498.115-22,,Física,DIEGO FAGUNDES,642.498.115-22,,Física,HMH5586, T20 TRUCKS,3256325344,AL,Média
32,DOUGLAS MACIEL,818.556.242-30,,Física,DOUGLAS MACIEL,818.556.242-30,,Física,NEY7045,Municipio,3256325344,AL,Média
33,EDGAR MALDONADO,362.825.377-20,,Física,EDGAR MALDONADO,362.825.377-20,,Física,BMV5105, 8V 53cv (Pick-Up),3256325344,AL,Média
34,EDGAR NAKAMURA,757.712.288-26,,Física,EDGAR NAKAMURA,757.712.288-26,,Física,MNX1171,Volvo / C30 2.4 170cv Aut,3256325344,AL,Média
35,EDNA AVILA,641.294.201-78,,Física,EDNA AVILA,641.294.201-78,,Física,MXG6654,Municipio,2114684790,AL,Média
